Test_ID,Data_Type,Metric,Expected,Actual,Absolute_Error,Relative_Error_Percent,Unit,Result,Notes
DICE-T1,SYNTHETIC_GROUND_TRUTH,Dice,1.0,1.0,0.0,0.0,ratio,PASS,Identical non-empty masks
DICE-T2,SYNTHETIC_GROUND_TRUTH,Dice,0.0,0.0,0.0,0.0,ratio,PASS,No overlap
DICE-T3,SYNTHETIC_GROUND_TRUTH,Dice,0.5,0.5,0.0,0.0,ratio,PASS,"|A|=10 |B|=10 intersection=5 voxels along one axis"
DICE-T4,SYNTHETIC_GROUND_TRUTH,Dice,1.0,1.0,0.0,0.0,ratio,PASS,Empty/empty
DICE-T5,SYNTHETIC_GROUND_TRUTH,Dice,0.0,0.0,0.0,0.0,ratio,PASS,Empty/non-empty
JACCARD-T1,SYNTHETIC_GROUND_TRUTH,Jaccard,1.0,1.0,0.0,0.0,ratio,PASS,Identical non-empty masks
JACCARD-T2,SYNTHETIC_GROUND_TRUTH,Jaccard,0.0,0.0,0.0,0.0,ratio,PASS,No overlap
JACCARD-T3,SYNTHETIC_GROUND_TRUTH,Jaccard,0.3333333333,0.3333333333,0.0,0.0,ratio,PASS,"|A|=10 |B|=10 intersection=5 union=15 voxels"
JACCARD-T4,SYNTHETIC_GROUND_TRUTH,Jaccard,1.0,1.0,0.0,0.0,ratio,PASS,Empty/empty
JACCARD-T5,SYNTHETIC_GROUND_TRUTH,Jaccard,0.0,0.0,0.0,0.0,ratio,PASS,Empty/non-empty
DICE_JACCARD_RELATION,SYNTHETIC_GROUND_TRUTH,Dice=2J/(1+J),varies,varies,<1e-9,<1e-9,ratio,PASS,"Checked at overlap fractions 0.2/0.5/0.8"
HD-T1,SYNTHETIC_GROUND_TRUTH,Hausdorff,0.0,0.0,0.0,0.0,mm,PASS,Identical masks
HD-T2,SYNTHETIC_GROUND_TRUTH,Hausdorff,1.0,1.0,0.0,0.0,mm,PASS,"1-voxel shift isotropic spacing (1,1,1)mm"
HD-T3,SYNTHETIC_GROUND_TRUTH,Hausdorff,3.0,3.0,0.0,0.0,mm,PASS,"1-voxel shift along axial axis, spacing_zyx=(3,1,1)mm - proves anisotropic spacing honored"
HD-T3b,SYNTHETIC_GROUND_TRUTH,Hausdorff,1.0,1.0,0.0,0.0,mm,PASS,"1-voxel shift along coronal axis (spacing 1mm), same spacing_zyx=(3,1,1)mm tuple - axis-specific correctness"
HD-T4,SYNTHETIC_GROUND_TRUTH,Hausdorff,0.0,0.0,0.0,0.0,mm,PASS,Empty/empty
HD-T5,SYNTHETIC_GROUND_TRUTH,Hausdorff,ValueError,ValueError,N/A,N/A,mm,PASS,"One mask empty - raises by design (documented, not inf/nan)"
