Dataset_ID,Operation,Run,Volume_Shape,Input_Voxels,Runtime_Seconds,RSS_Before_MB,RSS_After_MB,RSS_Delta_MB,Result,Notes
0051,Otsu threshold,1,"(108, 512, 512)",28311552,0.4477,942.1,943.2,1.1,PASS,"modality=CT result_range=(-405, 3033)"
0051,Otsu threshold,2,"(108, 512, 512)",28311552,0.4353,943.2,943.2,0.0,PASS,"modality=CT result_range=(-405, 3033)"
0051,Otsu threshold,3,"(108, 512, 512)",28311552,0.443,943.2,943.2,0.0,PASS,"modality=CT result_range=(-405, 3033)"
0051,Region Growing,1,"(108, 512, 512)",28311552,0.5196,943.2,971.7,28.5,PASS,"seed=(54, 256, 256) tolerance=100 output_voxels=6843727 fraction=0.2417 exceeds_20pct=True"
0051,Region Growing,2,"(108, 512, 512)",28311552,0.503,971.7,970.8,-0.9,PASS,"seed=(54, 256, 256) tolerance=100 output_voxels=6843727 fraction=0.2417 exceeds_20pct=True"
0051,Region Growing,3,"(108, 512, 512)",28311552,0.3853,970.8,970.8,0.0,PASS,"seed=(54, 256, 256) tolerance=100 output_voxels=6843727 fraction=0.2417 exceeds_20pct=True"
0051,"Surface build (Default algorithm, batch_mode)",1,"(108, 512, 512)",28311552,10.044,999.3,1297.5,298.2,PASS,"mask_threshold=(2933, 3033) mask_foreground_fraction=0.0000 points=13 cells=8"
0051,"Rendering (Surface mode, vtkRenderer.GetLastRenderTimeInSeconds)",1,"(108, 512, 512)",28311552,0.0001,,,,PASS,FPS=10000.0 Rendering_mode=Surface (NOT volume raycasting - C6 remains NOT_CONNECTED)
0051,"Rendering (Surface mode, vtkRenderer.GetLastRenderTimeInSeconds)",2,"(108, 512, 512)",28311552,0.0001,,,,PASS,FPS=10000.0 Rendering_mode=Surface (NOT volume raycasting - C6 remains NOT_CONNECTED)
0051,"Rendering (Surface mode, vtkRenderer.GetLastRenderTimeInSeconds)",3,"(108, 512, 512)",28311552,0.0001,,,,PASS,FPS=10000.0 Rendering_mode=Surface (NOT volume raycasting - C6 remains NOT_CONNECTED)
0051,Import DICOM,1,"(108, 512, 512)",28311552,8.181,732.3,1037.3,305.0,PASS,"modality=CT manufacturer=SIEMENS spacing=(0.4785156, 0.4785156, 1.5)"
0051,Import DICOM,2,"(108, 512, 512)",28311552,8.271,731.6,1035.7,304.1,PASS,"modality=CT manufacturer=SIEMENS spacing=(0.4785156, 0.4785156, 1.5) Phase14_note=label-only fix, was duplicate Run=1 from two separate real process launches; measured values unchanged"
0801,Otsu threshold,1,"(162, 512, 512)",42467328,0.6467,1113.9,1115.5,1.6,PASS,"modality=CT result_range=(-472, 3095)"
0801,Otsu threshold,2,"(162, 512, 512)",42467328,0.6431,1115.5,1116.0,0.5,PASS,"modality=CT result_range=(-472, 3095)"
0801,Otsu threshold,3,"(162, 512, 512)",42467328,0.6367,1116.0,1116.0,0.0,PASS,"modality=CT result_range=(-472, 3095)"
0801,Region Growing,1,"(162, 512, 512)",42467328,0.7163,1116.0,1158.7,42.6,PASS,"seed=(81, 256, 256) tolerance=100 output_voxels=6778190 fraction=0.1596 exceeds_20pct=False"
0801,Region Growing,2,"(162, 512, 512)",42467328,0.7262,1158.7,1158.7,0.0,PASS,"seed=(81, 256, 256) tolerance=100 output_voxels=6778190 fraction=0.1596 exceeds_20pct=False"
0801,Region Growing,3,"(162, 512, 512)",42467328,0.5687,1158.7,1158.7,0.0,PASS,"seed=(81, 256, 256) tolerance=100 output_voxels=6778190 fraction=0.1596 exceeds_20pct=False"
0801,"Surface build (Default algorithm, batch_mode)",1,"(162, 512, 512)",42467328,12.652,1201.5,1494.3,292.9,FAIL,"mask_threshold=(2995, 3095) mask_foreground_fraction=0.0000 points=0 cells=0 Phase14_classification=BENCHMARK_INPUT_EMPTY (threshold band chosen near Otsu max happened to select 0 foreground voxels for this dataset; not a product surface-build defect - see Run=2 below for a representative rerun with a data-derived non-empty threshold)"
0801,"Rendering (Surface mode, vtkRenderer.GetLastRenderTimeInSeconds)",1,"(162, 512, 512)",42467328,0.0001,,,,PASS,FPS=10000.0 Rendering_mode=Surface (NOT volume raycasting - C6 remains NOT_CONNECTED)
0801,"Rendering (Surface mode, vtkRenderer.GetLastRenderTimeInSeconds)",2,"(162, 512, 512)",42467328,0.0001,,,,PASS,FPS=10000.0 Rendering_mode=Surface (NOT volume raycasting - C6 remains NOT_CONNECTED)
